2023-10-26 09:21:41.559 INFO - [  restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 291 : Root WebApplicationContext: initialization completed in 7152 ms
2023-10-26 09:21:41.633 DEBUG - [  restartedMain] com.example.employeeProject.security.config.JwtAuthenticationFilter 240 : Filter 'jwtAuthenticationFilter' configured for use
2023-10-26 09:21:42.072 TRACE - [  restartedMain] org.springframework.cache.annotation.AnnotationCacheOperationSource 102 : Adding cacheable method 'getDepartmentByTitleContaining' with attribute: [Builder[public java.util.List com.example.employeeProject.department.DepartmentService.getDepartmentByTitleContaining(java.lang.String)] caches=[departmentCache] | key='#name' | keyGenerator='' | cacheManager='' | cacheResolver='' | condition='' | unless='' | sync='false']
2023-10-26 09:21:42.092 TRACE - [  restartedMain] org.springframework.cache.annotation.AnnotationCacheOperationSource 102 : Adding cacheable method 'deleteDepartment' with attribute: [Builder[public java.util.Map com.example.employeeProject.department.DepartmentService.deleteDepartment(java.lang.Long)] caches=[departmentCache] | key='' | keyGenerator='' | cacheManager='' | cacheResolver='' | condition='',false,false]
2023-10-26 09:21:42.716 TRACE - [  restartedMain] org.springframework.cache.annotation.AnnotationCacheOperationSource 102 : Adding cacheable method 'deleteEmployee' with attribute: [Builder[public java.util.Map com.example.employeeProject.employee.EmployeeService.deleteEmployee(java.lang.Long)] caches=[employeeCache] | key='#id' | keyGenerator='' | cacheManager='' | cacheResolver='' | condition='',false,false]
2023-10-26 09:21:42.718 TRACE - [  restartedMain] org.springframework.cache.annotation.AnnotationCacheOperationSource 102 : Adding cacheable method 'getEmployeeById' with attribute: [Builder[public com.example.employeeProject.employee.Employee com.example.employeeProject.employee.EmployeeService.getEmployeeById(java.lang.Long)] caches=[employeeCache] | key='#id' | keyGenerator='' | cacheManager='' | cacheResolver='' | condition='' | unless='' | sync='false']
2023-10-26 09:21:42.719 TRACE - [  restartedMain] org.springframework.cache.annotation.AnnotationCacheOperationSource 102 : Adding cacheable method 'getEmployeeByName' with attribute: [Builder[public java.util.List com.example.employeeProject.employee.EmployeeService.getEmployeeByName(java.lang.String)] caches=[employeeCache] | key='#name' | keyGenerator='' | cacheManager='' | cacheResolver='' | condition='' | unless='' | sync='false']
2023-10-26 09:21:42.720 TRACE - [  restartedMain] org.springframework.cache.annotation.AnnotationCacheOperationSource 102 : Adding cacheable method 'updateEmployee' with attribute: [Builder[public com.example.employeeProject.employee.Employee com.example.employeeProject.employee.EmployeeService.updateEmployee(java.lang.Long,com.example.employeeProject.employee.Employee)] caches=[employeeCache] | key='#id' | keyGenerator='' | cacheManager='' | cacheResolver='' | condition='' | unless='']
2023-10-26 09:21:42.875 INFO - [  restartedMain] com.example.employeeProject.caching.CacheConfiguration 37 : [Cache] injecting TTL cache: enabled
2023-10-26 09:21:42.969 WARN - [  restartedMain] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration 231 : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-10-26 09:21:43.679 INFO - [  restartedMain] org.springframework.security.web.DefaultSecurityFilterChain 54 : Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@cbba7a2, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7448e471, org.springframework.security.web.context.SecurityContextHolderFilter@502547bc, org.springframework.security.web.header.HeaderWriterFilter@3b6c2405, org.springframework.security.web.authentication.logout.LogoutFilter@71e32bcb, com.example.employeeProject.security.config.JwtAuthenticationFilter@14b51307, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4e499521, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4ed48da8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@773208f3, org.springframework.security.web.session.SessionManagementFilter@7c3f5f98, org.springframework.security.web.access.ExceptionTranslationFilter@55694e02, org.springframework.security.web.access.intercept.AuthorizationFilter@4107319d]
2023-10-26 09:21:44.340 INFO - [  restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer 59 : LiveReload server is running on port 35729
2023-10-26 09:21:44.431 INFO - [  restartedMain] org.apache.coyote.http11.Http11NioProtocol 173 : Starting ProtocolHandler ["http-nio-8080"]
2023-10-26 09:21:44.458 INFO - [  restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer 220 : Tomcat started on port(s): 8080 (http) with context path ''
